Name,location,location_score,check_in_day,check_in_week,check_out_day,check_out_week,score,price
아벤투라 호텔 (Aventura Hotel),"코리아타운, 로스앤젤레스 (CA) - 도심까지 59m",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"455,134"
르네상스 로스앤젤레스 에어포트 호텔 (Renaissance Los Angeles Airport Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 12.9km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.1,"460,729"
Four Points by Sheraton Los Angeles International Airport,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) - 도심까지 13.0km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.2,"345,226"
USC 호텔 (USC Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심까지 2.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.6,"345,226"
호텔 MDR 마리나 델 레이 - 어 더블트리 바이 힐튼 (Hotel MDR Marina del Rey - a DoubleTree by Hilton),"마리나 델 레이, 로스앤젤레스 (CA) - 도심까지 10.3km",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.7,"354,831"
The Biltmore Los Angeles,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"315,708"
애너하임에 있는 숙소 (4성급) (4-star hotel in the Anaheim neighborhood),"애너하임, 로스앤젤레스 (CA)",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.0,"239,245"
로우스 할리우드 호텔 (Loews Hollywood Hotel),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"309,309"
더 라인 호텔 (The LINE Hotel),"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"299,512"
프리핸드 로스앤젤레스 (Freehand Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.2,"44,917"
아벤투라 호텔 (Aventura Hotel),"코리아타운, 로스앤젤레스 (CA) - 도심까지 59m",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,8.5,"455,134"
Libra Hotel - Adults Only,"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.9,"44,251"
Rotex Western Inn - Adults Only,"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.3,"159,266"
가든 스위트 호텔 (Garden Suite Hotel),"코리아타운, 로스앤젤레스 (CA) - 도심에 위치",7,2023년 9월 1일,금요일,2023년 9월 2일,토요일,7.4,"191,153"
