index,departure_date,departure_day,departure_time,class,arrival_date,arrival_day,arrival_time,flight_time,flight_type,price,airlines,port_d,port_a
0,09-01,금,오후 5:00,이코노미,09-03,일,오후 12:45,27:45,1,"866,387",중화항공,LAX,GMP
1,09-01,금,오후 12:50,이코노미,09-03,일,오전 5:50,25:45,1,"912,815",필리핀항공,LAX,ICN
2,09-01,금,오후 12:40,이코노미,09-02,토,오후 5:35,12:55,0,"1,198,894",아시아나,LAX,ICN
3,09-01,금,오후 7:10,이코노미,09-03,일,오후 7:00,31:50,2,"854,693","스피릿항공, 하와이안항공",LAX,ICN
4,09-01,금,오후 5:00,이코노미,09-03,일,오전 11:10,26:10,1,"866,387",중화항공,LAX,ICN
5,09-01,금,오후 11:40,이코노미,09-03,일,오후 7:35,27:55,1,"907,147",필리핀항공,LAX,ICN
6,09-01,금,오후 12:50,이코노미,09-03,일,오후 7:35,38:45,1,"931,634",필리핀항공,LAX,ICN
7,09-01,금,오후 11:40,이코노미,09-04,월,오전 5:50,38:10,1,"931,634",필리핀항공,LAX,ICN
8,09-01,금,오후 8:25,이코노미,09-03,일,오후 7:00,30:35,2,"938,325","스피릿항공, 하와이안항공",LAX,ICN
9,09-01,금,오전 12:15,이코노미,09-02,토,오후 12:40,20:25,1,"955,328",샤먼항공,LAX,ICN
10,09-01,금,오후 12:15,이코노미,09-03,일,오전 11:00,30:45,1,"978,971",에바항공,LAX,ICN
11,09-01,금,오전 7:00,이코노미,09-02,토,오후 7:00,20:45,1,"1,089,508",하와이안항공,LAX,ICN
12,09-01,금,오전 1:15,이코노미,09-02,토,오후 7:15,26:45,1,"1,090,020",캐세이패시픽항공,LAX,ICN
13,09-01,금,오전 1:15,이코노미,09-02,토,오후 9:15,28:45,1,"1,090,020",캐세이패시픽항공,LAX,ICN
14,09-01,금,오전 10:50,이코노미,09-02,토,오후 3:45,12:55,0,"1,133,774",Air Premia Inc,LAX,ICN
15,09-01,금,오후 8:25,이코노미,09-03,일,오후 7:00,30:35,2,"1,141,962","알래스카항공, 하와이안항공",BUR,ICN
16,09-01,금,오후 9:55,이코노미,09-03,일,오전 11:10,21:15,2,"1,161,280","알래스카항공, 중화항공운항사: Skywest Airlines as Alaska SkyWest",LAX,ICN
17,09-01,금,오후 6:45,이코노미,09-03,일,오전 11:20,24:35,1,"1,189,810",핀란드항공,LAX,ICN
18,09-01,금,오후 9:55,이코노미,09-03,일,오후 12:45,22:50,2,"1,211,175","알래스카항공, 중화항공운항사: Skywest Airlines as Alaska SkyWest",LAX,GMP
19,09-01,금,오전 12:50,이코노미,09-02,토,오전 11:00,18:10,1,"1,211,815",에바항공아시아나,LAX,ICN
20,09-01,금,오전 12:50,이코노미,09-02,토,오후 12:50,20:10,1,"1,211,815",에바항공,LAX,GMP
21,09-01,금,오전 12:50,이코노미,09-02,토,오후 6:45,25:55,1,"1,211,815",에바항공,LAX,ICN
22,09-01,금,오전 1:25,이코노미,09-02,토,오전 11:00,17:35,1,"1,211,815",에바항공아시아나,LAX,ICN
23,09-01,금,오전 1:25,이코노미,09-02,토,오후 6:45,25:20,1,"1,211,815",에바항공,LAX,ICN
24,09-01,금,오전 10:00,이코노미,09-02,토,오후 7:00,17:20,1,"1,217,444",하와이안항공,LAX,ICN
25,09-01,금,오전 6:00,이코노미,09-02,토,오후 7:00,21:20,2,"1,218,724","알래스카항공, 하와이안항공운항사: Skywest Airlines as Alaska SkyWest",LAX,ICN
26,09-01,금,오후 6:00,이코노미,09-03,일,오후 7:00,33:20,1,"1,244,413",하와이안항공,LAX,ICN
27,09-01,금,오전 12:15,이코노미,09-02,토,오후 7:15,27:20,1,"1,248,661",캐세이패시픽항공,LAX,ICN
28,09-01,금,오전 12:15,이코노미,09-02,토,오후 9:15,29:20,1,"1,248,661",캐세이패시픽항공,LAX,ICN
29,09-01,금,오후 7:15,이코노미,09-03,일,오후 12:45,25:30,2,"1,262,350","알래스카항공, 중화항공운항사: Skywest Airlines as Alaska SkyWest",LAX,GMP
31,09-01,금,오전 12:45,이코노미,09-02,토,오전 11:10,18:25,1,"1,266,828",중화항공,LAX,ICN
32,09-01,금,오전 12:45,이코노미,09-02,토,오후 7:45,27:25,1,"1,266,828",중화항공,LAX,ICN
33,09-01,금,오전 12:40,이코노미,09-02,토,오후 3:30,22:50,1,"1,267,468",아메리칸항공,LAX,ICN
34,09-01,금,오전 1:30,이코노미,09-02,토,오후 3:30,22:50,1,"1,267,468",아메리칸항공,LAX,ICN
35,09-01,금,오후 6:30,이코노미,09-03,일,오후 3:30,29:50,1,"1,267,468",아메리칸항공,LAX,ICN
36,09-01,금,오후 11:45,이코노미,09-03,일,오후 3:30,23:45,1,"1,267,468",아메리칸항공,LAX,ICN
37,09-01,금,오후 8:25,이코노미,09-03,일,오후 4:25,28:45,2,"1,273,225","알래스카항공, 에어캐나다유나이티드항공운항사: Air Canada Express - Jazz",BUR,ICN
39,09-01,금,오전 12:15,이코노미,09-02,토,오후 4:30,24:15,1,"1,286,658",델타항공,LAX,ICN
40,09-01,금,오전 6:00,이코노미,09-02,토,오후 2:45,16:45,1,"1,286,658",유나이티드항공,LAX,ICN
41,09-01,금,오전 8:15,이코노미,09-02,토,오후 2:45,14:30,1,"1,286,658",유나이티드항공,LAX,ICN
42,09-01,금,오전 10:40,이코노미,09-03,일,오전 4:20,25:40,1,"1,286,658",유나이티드항공,LAX,ICN
43,09-01,금,오전 11:35,이코노미,09-03,일,오전 4:20,24:45,1,"1,286,658",유나이티드항공,LAX,ICN
44,09-01,금,오후 12:18,이코노미,09-03,일,오전 4:20,24:02,2,"1,286,658",유나이티드항공,LAX,ICN
46,09-01,금,오후 12:50,이코노미,09-03,일,오전 4:20,23:30,2,"1,286,658",유나이티드항공,LAX,ICN
48,09-01,금,오후 1:52,이코노미,09-03,일,오전 4:20,22:28,1,"1,286,658",유나이티드항공,LAX,ICN
49,09-01,금,오후 2:26,이코노미,09-03,일,오전 4:20,21:54,2,"1,286,658",유나이티드항공,LAX,ICN
51,09-01,금,오후 4:10,이코노미,09-03,일,오전 4:20,20:10,1,"1,286,658",유나이티드항공,LAX,ICN
52,09-01,금,오후 4:13,이코노미,09-03,일,오전 4:20,20:07,2,"1,286,658",유나이티드항공,LAX,ICN
53,09-01,금,오후 5:10,이코노미,09-03,일,오전 4:20,19:10,1,"1,286,658",유나이티드항공,LAX,ICN
54,09-01,금,오후 6:35,이코노미,09-03,일,오후 4:30,29:55,1,"1,286,658",델타항공,LAX,ICN
55,09-01,금,오후 6:45,이코노미,09-03,일,오전 4:20,17:35,1,"1,286,658",유나이티드항공,LAX,ICN
56,09-01,금,오후 11:25,이코노미,09-03,일,오후 4:30,25:05,1,"1,286,658",델타항공,LAX,ICN
57,09-01,금,오전 9:50,이코노미,09-02,토,오후 10:05,20:15,1,"1,295,358","델타항공, 대한항공",LAX,GMP
58,09-01,금,오후 5:20,이코노미,09-03,일,오후 4:25,31:05,1,"1,298,812",에어캐나다,LAX,ICN
59,09-01,금,오후 10:00,이코노미,09-03,일,오후 4:25,26:25,1,"1,298,812",에어캐나다,LAX,ICN
60,09-01,금,오전 6:00,이코노미,09-03,일,오전 4:20,30:20,1,"1,303,827",유나이티드항공,LAX,ICN
61,09-01,금,오전 8:15,이코노미,09-03,일,오전 4:20,28:05,1,"1,303,827",유나이티드항공,LAX,ICN
62,09-01,금,오전 12:50,이코노미,09-02,토,오후 6:35,25:45,1,"1,304,441",전일본공수,LAX,GMP
