Name,location,distance(km),location_score,check_in_day,check_in_week,score,price
The Biltmore Los Angeles,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.0,310980
힐튼 아나헤임 (Hilton Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) ",40.3,8,2023-09-01,금,8.0,232918
아벤투라 호텔 (Aventura Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.06,8,2023-09-01,금,8.5,459496
USC 호텔 (USC Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",2.3,8,2023-09-01,금,8.6,459496
더 웨스틴 로스앤젤레스 공항 (The Westin Los Angeles Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.1,8,2023-09-01,금,8.0,499104
Four Points by Sheraton Los Angeles International Airport,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.0,8,2023-09-01,금,7.2,305861
애너하임에 있는 숙소 (4성급) (4-star hotel in the Anaheim neighborhood),"애너하임, 로스앤젤레스 (CA)",,8,2023-09-01,금,8.0,238572
로우스 할리우드 호텔 (Loews Hollywood Hotel),"헐리우드, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.5,287466
더 라인 호텔 (The LINE Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,7.9,298669
Sonesta Los Angeles Airport LAX,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.2,8,2023-09-01,금,7.9,418710
가든 스위트 호텔 (Garden Suite Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,7.4,190382
Rotex Western Inn - Adults Only,"코리아타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,7.3,158818
Anaheim Marriott Suites,"애너하임, 로스앤젤레스 (CA) ",41.5,8,2023-09-01,금,8.1,184285
Hotel Indigo Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.4,184285
킴튼 에벌리 호텔 (Kimpton Everly Hotel),"헐리우드, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.3,315767
로스엔젤레스 다운타운에 있는 숙소 (4성급) (4-star hotel in the Downtown Los Angeles neighborhood),"로스엔젤레스 다운타운, 로스앤젤레스 (CA)",,8,2023-09-01,금,8.0,357277
소피텔 로스 앤젤레스 앳 비벌리 힐스 호텔 (Sofitel Los Angeles at Beverly Hills Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.3,447402
프리핸드 로스앤젤레스 (Freehand Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.2,46021
citizenM Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.9,274297
글렌데일에 있는 숙소 (3성급) (3-star hotel in the Glendale neighborhood),"글렌데일, 로스앤젤레스 (CA)",,8,2023-09-01,금,8.0,381873
킹스 인 애너하임 앳 더 파크 앤 컨벤션 센터 (Kings Inn Anaheim at The Park & Convention Center),"애너하임, 로스앤젤레스 (CA) ",40.4,8,2023-09-01,금,8.6,127526
쉐라톤 게이트웨이 로스앤젤레스 호텔 (Sheraton Gateway Los Angeles Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.2,8,2023-09-01,금,8.0,408242
비벌리 힐스 플라자 호텔 앤 스파 (Beverly Hills Plaza Hotel and Spa),"비벌리 힐스, 로스앤젤레스 (CA) ",3.3,8,2023-09-01,금,8.3,399999
InterContinental - Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.8,399999
레닥 게이트웨이 호텔 인 토랜스 (Redac Gateway Hotel in Torrance),"토런스, 로스앤젤레스 (CA) ",22.0,8,2023-09-01,금,8.1,188774
애너하임에 있는 숙소 (3.5성급) (3.5-star hotel in the Anaheim neighborhood),"애너하임, 로스앤젤레스 (CA)",,8,2023-09-01,금,8.0,311337
더 가드프리 호텔 할리우드 (The Godfrey Hotel Hollywood),"헐리우드, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.2,291784
옥스퍼드 팰리스 호텔 (Oxford Palace Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,7.4,291784
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills","비벌리 힐스, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.2,450154
미야코 호텔 로스앤젤레스 (Miyako Hotel Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,8,2023-09-01,금,8.7,284972
