title,distance,rating,price
유니버설 스튜디오 할리우드,시내까지 거리: 13.9km,4.8,"139,304원"
디즈니랜드 파크,로스엔젤레스  거리: 40.1km,4.7,"128,307원"
할리우드 명예의 거리,시내까지 거리: 9.4km,4.5,무료
아쿼리엄 오브 더 퍼시픽,시내까지 거리: 32.6km,4.4,"37,200원"
OUE Skyspace LA,시내까지 거리: 995m,4.6,N/A
산타모니카 스테이트 비치,시내까지 거리: 24.2km,4.6,무료
마담 투소 할리우드,시내까지 거리: 10.6km,4.5,"32,068원"
비벌리힐스,시내까지 거리: 14.6km,4.6,무료
더 게티,시내까지 거리: 21.4km,4.7,무료
더 위자딩 월드 오브 해리 포터,시내까지 거리: 13.9km,4.6,N/A
선셋 대로,시내까지 거리: 15.9km,4.4,무료
식스 플래그즈 매직 마운틴,시내까지 거리: 52.8km,4.6,N/A
아쿼리엄 오브 더 퍼시픽,시내까지 거리: 32.6km,4.4,"37,200원"
로스앤젤레스 자연사 박물관,시내까지 거리: 5.7km,4.6,N/A
리틀 토쿄,시내까지 거리: 385m,4.4,무료
베니스 비치,시내까지 거리: 22.2km,4.5,무료
디즈니 캘리포니아 어드밴츄어 파크,로스엔젤레스  거리: 40.4km,4.7,"128,307원"
로스엔젤레스뮤지움,시내까지 거리: 10.7km,4.6,N/A
TCL 차이니즈 시어터,시내까지 거리: 10.5km,4.5,N/A
롱비치,시내까지 거리: 31.8km,4.5,무료
스테이플스 센터,시내까지 거리: 2.4km,4.7,N/A
서던캘리포니아 대학교,시내까지 거리: 5.1km,4.6,무료
엔젤스 플라이트,시내까지 거리: 642m,4.4,N/A
마담 투소 할리우드,시내까지 거리: 10.6km,4.5,"32,068원"
할리우드사인,시내까지 거리: 11.6km,4.4,무료
헌팅톤도서관,시내까지 거리: 14.6km,4.6,N/A
돌비 극장,시내까지 거리: 10.5km,4.6,N/A
차이나타운,시내까지 거리: 1.2km,4.3,무료
더 브로드,시내까지 거리: 649m,4.7,무료
워터월드,시내까지 거리: 13.9km,4.8,N/A
국도 제호선 (미국),로스엔젤레스  거리: 40.6km,4.8,무료
코리아타운,시내까지 거리: 5.3km,4.4,무료
월트 디즈니 콘서트홀,시내까지 거리: 664m,4.5,무료
스튜디오투어,시내까지 거리: 13.9km,4.8,N/A
캘리포니아 사이언스 센터,시내까지 거리: 5.6km,4.5,무료
로데오 드라이브,시내까지 거리: 14.7km,4.7,무료
