호텔 이름,위치,check_in_day,check_in_week,check_out_day,check_out_week,가격,평점
로우스 할리우드 호텔 (Loews Hollywood Hotel),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"288,042",8.5
"Hotel Figueroa, In The Unbound Collection By Hyatt","로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"411,114",8.9
세임선 할리우드 (포멀리 워크 오프 페임 호스텔) (Samesun Hollywood (formerly Walk of Fame Hostel)),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"53,986",8.3
InterContinental - Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"53,986",8.8
쉐라톤 유니버셜 호텔 (Sheraton Universal Hotel),"유니버셜 시티, 로스앤젤레스 (CA) - 도심까지 2.9km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"370,893",8.3
킹스 인 애너하임 앳 더 파크 앤 컨벤션 센터 (Kings Inn Anaheim at The Park & Convention Center),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"127,962",8.6
글렌데일에 있는 숙소 (3성급) (3-star hotel in the Glendale neighborhood),"글렌데일, 로스앤젤레스 (CA)",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"382,951",8
Luskin Hotel,"웨스트우드, 로스앤젤레스 (CA) - 도심까지 5.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"438,867",9.4
더 할리우드 루즈벨트 (The Hollywood Roosevelt),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"358,894",8.6
Orange Drive Hostel - Adults Only,"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"49,089",8.7
로우스 할리우드 호텔 (Loews Hollywood Hotel),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"288,042",8.5
E 센트럴 호텔 다운타운 로스앤젤레스 (E Central Hotel Downtown Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"328,603",8.6
애너하임 호텔 (Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.1km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"224,231",8.4
할리우드 셀레브리티 호텔 (Hollywood Celebrity Hotel),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"299,106",8.8
하워드 존슨 바이 윈덤 애너하임 호텔 앤 워터 플레이그라운드 (Howard Johnson by Wyndham Anaheim Hotel & Water Playground),"애너하임, 로스앤젤레스 (CA) - 도심까지 39.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"299,106",8.8
세임선 할리우드 (포멀리 워크 오프 페임 호스텔) (Samesun Hollywood (formerly Walk of Fame Hostel)),"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"53,986",8.3
수 카사 앳 베니스 비치 (Su Casa at Venice Beach),"베니스 비치, 로스앤젤레스 (CA) - 도심까지 11.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"299,999",8.8
애너하임에 있는 숙소 (3.5성급) (3.5-star hotel in the Anaheim neighborhood),"애너하임, 로스앤젤레스 (CA)",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"289,832",8
Samesun Venice Beach,"베니스 비치, 로스앤젤레스 (CA) - 도심까지 11.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"59,456",8.2
쇼트 스토리 호텔 (Short Stories Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"374,220",8.6
킹스 인 애너하임 앳 더 파크 앤 컨벤션 센터 (Kings Inn Anaheim at The Park & Convention Center),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"127,962",8.6
힐튼 로스앤젤레스/유니버설 시티 (Hilton Los Angeles/Universal City),"유니버셜 시티, 로스앤젤레스 (CA) - 도심까지 2.9km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"366,237",8.3
애너하임 메리어트 (Anaheim Marriott),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.3km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"305,441",8.7
HI 로스앤젤레스 - 산타 모니카 호스텔 (HI Los Angeles - Santa Monica Hostel),"산타 모니카, 로스앤젤레스 (CA) - 도심까지 11.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"98,819",8.8
1 호텔 웨스트 할리우드 (1 Hotel West Hollywood),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"636,976",8.7
Luskin Hotel,"웨스트우드, 로스앤젤레스 (CA) - 도심까지 5.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"438,867",9.4
"호텔 룰루 BW 프리미어 컬렉션 (Hotel Lulu, BW Premier Collection)","애너하임, 로스앤젤레스 (CA) - 도심까지 40.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"227,990",8.5
더 퍼시픽 인 (The Pacific Inn),"롱비치, 로스앤젤레스 (CA) - 도심까지 35.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"227,990",9.1
