Name,location,distance(km),location_score,check_in_day,check_in_week,score,price
아벤투라 호텔 (Aventura Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.06,7,2023-09-01,금,8.5,455134
르네상스 로스앤젤레스 에어포트 호텔 (Renaissance Los Angeles Airport Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",12.9,7,2023-09-01,금,8.1,460729
Four Points by Sheraton Los Angeles International Airport,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.0,7,2023-09-01,금,7.2,345226
USC 호텔 (USC Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",2.3,7,2023-09-01,금,8.6,345226
호텔 MDR 마리나 델 레이 - 어 더블트리 바이 힐튼 (Hotel MDR Marina del Rey - a DoubleTree by Hilton),"마리나 델 레이, 로스앤젤레스 (CA) ",10.3,7,2023-09-01,금,7.7,354831
The Biltmore Los Angeles,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.0,315708
애너하임에 있는 숙소 (4성급) (4-star hotel in the Anaheim neighborhood),"애너하임, 로스앤젤레스 (CA)",,7,2023-09-01,금,8.0,239245
로우스 할리우드 호텔 (Loews Hollywood Hotel),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.5,309309
더 라인 호텔 (The LINE Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.9,299512
프리핸드 로스앤젤레스 (Freehand Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,44917
Libra Hotel - Adults Only,"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.9,44251
Rotex Western Inn - Adults Only,"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.3,159266
가든 스위트 호텔 (Garden Suite Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.4,191153
Hotel Indigo Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.4,191153
citizenM Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.9,307665
로스엔젤레스 다운타운에 있는 숙소 (4성급) (4-star hotel in the Downtown Los Angeles neighborhood),"로스엔젤레스 다운타운, 로스앤젤레스 (CA)",,7,2023-09-01,금,8.0,358286
킹스 인 애너하임 앳 더 파크 앤 컨벤션 센터 (Kings Inn Anaheim at The Park & Convention Center),"애너하임, 로스앤젤레스 (CA) ",40.4,7,2023-09-01,금,8.6,128046
세임선 할리우드 (포멀리 워크 오프 페임 호스텔) (Samesun Hollywood (formerly Walk of Fame Hostel)),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.3,53039
미야코 호텔 로스앤젤레스 (Miyako Hotel Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.7,285105
Anaheim Marriott Suites,"애너하임, 로스앤젤레스 (CA) ",41.5,7,2023-09-01,금,8.1,184805
옥스퍼드 팰리스 호텔 (Oxford Palace Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.4,292608
H 바이 H 호스피탈리티 (H by H Hospitality),"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.0,199999
킴튼 에벌리 호텔 (Kimpton Everly Hotel),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.3,316658
InterContinental - Los Angeles Downtown,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.8,316658
Sonesta Los Angeles Airport LAX,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.2,7,2023-09-01,금,7.9,435254
